batch_size,method, score, level, clears, time, mps, cliff_l_e, cliff_h_e, cliff_l_w, cliff_h_w, m_stack_w, m_stack_e, a_stack_w, a_stack_e, stack_d_w, stack_d_e, stack_d_thresh, score_w, go_w
5,greedy,980,1.6,5.8,12.71938457,4,4.591203663,2.586056006,-9.049139126,-4.680969392,-4.711434687,1.080951716,-6.888466642,3.110503756,-0.182962267,1.729125672,2.450478329,6.634377202,-9.514560024
5,greedy,44020,3,53.2,54.53939013,4,2.557813997,2.410734129,-5.66555082,-6.423701747,-7.675848294,1.715672256,-4.042104493,2.297765837,-1.41157235,3.683202884,6.020506773,5.078377781,-10
5,greedy,9480,3,28.6,28.98556666,4,2.651722343,1.47321447,-7.252650378,-5.388860227,-7.646371788,2.586297319,-4.829300152,2.11078337,-1.969514536,3.685798211,7.365921435,4.473254115,-10
5,greedy,10220,2.6,26.8,27.45426702,4,2.421104185,2.352491959,-5.564205063,-7.033270563,-9.513925958,1.554972646,-2.808843719,2.397246551,-2.313775719,3.134521035,7.261832037,4.856550017,-10
5,greedy,26100,4.4,55,43.72741718,4,2.426602115,3.926139861,-3.422805337,-6.829971539,-7.440225619,1.771499684,-5.32095878,2.652955171,-0.669540251,4.354048071,2.746268558,7.418657251,-10
5,greedy,16840,3.4,39,36.82738428,4,2.722838159,3.305888012,-1.546006588,-8.583819547,-6.16681728,2.294781345,-3.871988869,3.228308925,-1.446568435,4.285012912,0.562595232,7.238926053,-10
,,,,,,,,,,,,,,,,,,,
5,greedy,5360,3.2,21.8,25.16846833,4,4.041291478,1.985572909,-7.879152985,-1.400077469,-8.79291283,4.107898262,-7.867447471,2.831449168,-7.012954805,2.949314044,4.143312197,8.583886744,-4.168264166
5,greedy,4120,2.4,18.8,19.58048005,4,3.163639056,1.001277016,-7.545002236,-1.96732956,-8.923390715,4.684866644,-9.16432358,2.389725179,-9.011287095,2.234076543,4.436601984,7.549509784,-3.559793904
5,greedy,3940,2.8,17.8,20.90288119,4,5,3.168679956,-6.182868092,0,-10,4.464739569,-8.325934228,2.461476005,-8.217297249,2.268671944,1.300003061,9.666969669,-5.107061463
